entry_date,exit_date,entry_price,exit_price,shares,pnl,entry_cost,exit_cost,transaction_cost,liquidity_constrained,hold_days,signal_types,exit_reason,period,trade_id
2011-07-28,2011-08-03,100.6021,97.3658,267,-864.11,14.79,14.3712,29.1612,False,4,TOM,CALENDAR,IS,73
2011-09-01,2011-09-02,93.4333,90.9447,279,-694.3,14.4854,14.1539,28.6393,False,1,PRE_HOLIDAY,CALENDAR,IS,74
2011-10-28,2011-11-03,99.8647,97.9315,254,-491.02,13.9882,13.7584,27.7466,False,4,TOM,CALENDAR,IS,75
2011-11-22,2011-11-23,92.5577,90.4146,268,-574.33,13.7821,13.5087,27.2907,False,1,PRE_HOLIDAY,CALENDAR,IS,76
2011-12-12,2011-12-15,96.4558,94.7743,252,-423.73,13.4497,13.2494,26.6991,False,3,OEX,CALENDAR,IS,77
2011-12-22,2011-12-23,97.8958,98.662,244,186.95,13.1972,13.3042,26.5013,False,1,PRE_HOLIDAY,CALENDAR,IS,78
2011-12-29,2012-01-05,98.56,99.95,244,339.17,13.2709,13.4563,26.7272,False,4,"PRE_HOLIDAY,TOM",CALENDAR,IS,79
2012-01-12,2012-01-13,101.209,100.5746,241,-152.89,13.4242,13.3603,26.7845,False,1,PRE_HOLIDAY,CALENDAR,IS,80
2012-01-17,2012-01-19,101.0762,102.6199,240,370.49,13.3521,13.5504,26.9025,False,2,OEX,CALENDAR,IS,81
2012-01-30,2012-02-03,102.6625,105.0244,239,564.5,13.4746,13.7701,27.2448,False,4,TOM,CALENDAR,IS,82
2012-02-13,2012-02-17,105.7804,106.4842,238,167.5,13.7888,13.8868,27.6756,False,4,"OEX,PRE_HOLIDAY",CALENDAR,IS,83
2012-02-28,2012-03-05,107.4995,106.7496,235,-176.23,13.8158,13.7394,27.5551,False,4,TOM,CALENDAR,IS,84
2012-03-12,2012-03-15,107.5152,109.8488,234,546.06,13.7615,14.0517,27.8132,False,3,OEX,CALENDAR,IS,85
2012-03-29,2012-04-04,110.0662,109.6559,233,-95.6,14.0055,13.97,27.9756,False,4,TOM,CALENDAR,IS,86
2012-04-16,2012-04-19,107.5704,107.978,238,97.0,14.0107,14.0755,28.0861,False,3,OEX,CALENDAR,IS,87
2012-04-27,2012-05-03,110.1918,109.1776,233,-236.31,14.0241,13.9194,27.9436,False,4,TOM,CALENDAR,IS,88
2012-05-14,2012-05-17,105.2629,102.5992,242,-644.61,13.9646,13.6536,27.6182,False,3,OEX,CALENDAR,IS,89
2012-05-24,2012-05-25,104.0228,103.5715,238,-107.41,13.5832,13.5427,27.1259,False,1,PRE_HOLIDAY,CALENDAR,IS,90
2012-05-30,2012-06-05,103.4184,101.1957,239,-531.22,13.5702,13.32,26.8902,False,4,TOM,CALENDAR,IS,91
2012-06-11,2012-06-14,103.1438,104.6457,234,351.44,13.2618,13.4523,26.7141,False,3,OEX,CALENDAR,IS,92
2012-06-15,2012-06-18,105.832,105.9208,232,20.61,13.4611,13.485,26.9461,False,1,PRE_HOLIDAY,CALENDAR,IS,93
