ticker,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,total_cost,pnl,exit_type,hold_trading_days,atr_stop,liquidity_constrained
QQQ,2009-07-30,2009-08-05,34.373,34.3557,915.5065,-15.8277,12.5148,-28.3426,time,4,33.2266,False
IWM,2009-07-30,2009-08-05,44.2565,44.9966,708.5598,524.4172,10.6282,513.7889,time,4,42.4442,False
QQQ,2009-09-16,2009-09-22,36.3186,36.9163,870.9174,520.604,12.0652,508.5388,time,4,35.1944,False
SPY,2009-10-08,2009-10-14,79.0927,81.1415,402.0595,823.7186,7.3409,816.3777,time,4,76.729,False
QQQ,2009-10-08,2009-10-14,36.622,37.3578,866.2588,637.3448,12.0577,625.287,time,4,35.4226,False
IWM,2009-10-08,2009-10-14,48.4449,49.7292,653.5187,839.3143,10.0725,829.2417,time,4,46.5172,False
QQQ,2009-11-04,2009-11-10,35.9469,37.7559,905.6958,1638.4198,12.6291,1625.7907,time,4,34.6337,False
IWM,2009-11-09,2009-11-13,46.7378,46.8495,702.5247,78.4589,10.685,67.7739,time,4,44.0666,False
SPY,2009-11-11,2009-11-17,81.8838,82.6484,404.7892,309.5032,7.5015,302.0017,time,4,78.9071,False
QQQ,2009-11-11,2009-11-17,38.0416,38.6042,869.3729,489.1285,12.2739,476.8546,time,4,36.6406,False
SPY,2009-11-23,2009-11-30,82.1881,81.6092,406.1547,-235.1478,7.501,-242.6488,time,4,79.9708,False
IWM,2009-11-23,2009-11-30,47.3919,46.339,701.6003,-738.751,10.6754,-749.4264,time,4,45.2678,False
QQQ,2009-12-11,2009-12-17,38.5522,37.929,857.2887,-534.2652,12.0364,-546.3016,time,4,37.4283,False
SPY,2009-12-14,2009-12-18,83.0418,82.25,396.7518,-314.1457,7.3316,-321.4773,time,4,80.7078,False
SPY,2009-12-23,2009-12-30,83.5859,83.974,391.9458,152.1013,7.278,144.8233,time,4,81.7697,False
QQQ,2009-12-23,2009-12-30,39.2928,40.0298,833.0678,613.9447,11.812,602.1327,time,4,38.2522,False
IWM,2009-12-28,2010-01-04,50.9323,51.2447,647.2054,202.1765,10.0203,192.1562,time,4,49.5415,False
SPY,2010-03-05,2010-03-11,84.6083,86.1606,390.9094,606.8227,7.3102,599.5124,time,4,82.7991,False
IWM,2010-03-05,2010-03-11,52.6303,54.2643,627.0523,1024.5572,9.8175,1014.7397,time,4,51.2287,False
QQQ,2010-03-19,2010-03-25,41.5914,41.6175,808.1539,21.0546,11.5781,9.4765,time,4,40.7987,False
SPY,2010-04-01,2010-04-08,88.2765,89.0034,380.7971,276.8036,7.2312,269.5725,time,4,86.4961,False
SPY,2010-04-12,2010-04-16,89.7003,89.4455,375.7543,-95.7533,7.1784,-102.9317,time,4,87.8504,False
IWM,2010-04-12,2010-04-16,56.4309,57.3784,597.0136,565.6535,9.5716,556.0819,time,4,54.7125,False
QQQ,2010-06-17,2010-06-23,40.9318,40.0441,827.14,-734.2255,11.9706,-746.196,time,4,39.0025,False
SPY,2010-06-21,2010-06-23,85.1727,82.5525,397.2792,-1040.9625,7.4427,-1048.4053,trend_break,2,81.8922,False
IWM,2010-06-21,2010-06-23,54.4958,51.5214,618.3507,-1839.1836,9.8705,-1849.0541,stop,2,51.5214,False
SPY,2010-07-27,2010-07-30,84.4574,82.1986,386.488,-873.0077,7.2023,-880.21,trend_break,3,81.4725,False
QQQ,2010-07-27,2010-08-02,40.6369,40.6631,801.7681,20.9568,11.5789,9.3779,time,4,39.0748,False
SPY,2010-09-13,2010-09-17,84.7661,85.1518,381.656,147.1873,7.1613,140.026,time,4,82.2309,False
QQQ,2010-09-20,2010-09-24,42.0683,43.3696,770.1331,1002.1478,11.2313,990.9165,time,4,40.9567,False
SPY,2010-10-07,2010-10-13,88.1873,89.2621,371.1249,398.9157,7.0806,391.8352,time,4,85.8644,False
SPY,2010-10-25,2010-10-29,90.1857,89.6936,364.3495,-179.2729,6.9827,-186.2556,time,4,87.9677,False
IWM,2010-10-25,2010-10-29,57.2111,56.775,573.0589,-249.9125,9.2205,-259.1329,time,4,55.0859,False
SPY,2010-11-18,2010-11-24,90.3522,90.9881,362.0348,230.2065,6.9803,223.2262,time,4,88.1537,False
QQQ,2010-11-18,2010-11-24,45.5529,46.3913,715.769,600.0976,10.6387,589.459,time,4,44.2554,False
IWM,2010-11-18,2010-11-24,57.8814,59.5451,561.2667,933.77,9.1876,924.5824,time,4,55.8497,False
