z_lookback,z_threshold,iwm_heavy_pct,min_hold_days,dma_window,sharpe,cagr,max_drawdown,total_return,trade_count,position_switches,win_rate,profit_factor,avg_ppt_bps,avg_cost_bps
30,1.5,0.65,5,200,0.599,0.0742,-0.243,2.1432,401,400,0.5885,1.4343,33.31,1.3733
30,1.5,0.7,2,150,0.5098,0.0606,-0.2325,1.5622,569,568,0.5624,1.3223,20.84,1.8832
30,1.5,0.7,2,200,0.4468,0.0522,-0.2896,1.2563,550,549,0.5564,1.2709,18.93,1.4933
30,1.5,0.7,3,150,0.4856,0.0577,-0.2831,1.4537,492,491,0.5732,1.3188,22.89,1.8476
30,1.5,0.7,3,200,0.5004,0.0606,-0.2702,1.5645,481,480,0.5634,1.3205,24.0,1.4806
30,1.5,0.7,5,150,0.5122,0.0612,-0.2326,1.5868,408,407,0.576,1.3677,28.31,1.7662
30,1.5,0.7,5,200,0.6035,0.075,-0.2417,2.1802,401,400,0.591,1.4395,33.71,1.4616
45,0.75,0.55,2,150,0.492,0.058,-0.259,1.4642,554,553,0.5686,1.3119,20.29,1.6857
45,0.75,0.55,2,200,0.4405,0.0512,-0.2956,1.2218,525,524,0.5752,1.2684,19.1,1.2858
45,0.75,0.55,3,150,0.5203,0.0624,-0.2642,1.6346,478,477,0.5732,1.3541,24.62,1.6761
45,0.75,0.55,3,200,0.4499,0.053,-0.2969,1.2828,464,463,0.5625,1.2861,22.19,1.3197
45,0.75,0.55,5,150,0.566,0.0695,-0.2393,1.9288,382,381,0.589,1.4261,33.09,1.5817
45,0.75,0.55,5,200,0.5887,0.0736,-0.2466,2.1148,378,377,0.5979,1.445,34.89,1.2698
45,0.75,0.6,2,150,0.4948,0.0584,-0.2592,1.4796,554,553,0.5668,1.3146,20.48,1.7661
45,0.75,0.6,2,200,0.4419,0.0514,-0.2944,1.2302,525,524,0.5733,1.2702,19.26,1.3728
45,0.75,0.6,3,150,0.5208,0.0626,-0.2687,1.64,478,477,0.5711,1.3557,24.75,1.7573
45,0.75,0.6,3,200,0.4493,0.0529,-0.2968,1.2821,464,463,0.5582,1.2869,22.27,1.4066
45,0.75,0.6,5,150,0.5678,0.0698,-0.2433,1.9429,382,381,0.5812,1.4283,33.31,1.6668
45,0.75,0.6,5,200,0.5923,0.0742,-0.2494,2.1429,378,377,0.5899,1.449,35.22,1.3595
45,0.75,0.65,2,150,0.4973,0.0588,-0.2594,1.4948,554,553,0.5704,1.3173,20.67,1.8471
45,0.75,0.65,2,200,0.443,0.0517,-0.2931,1.2384,525,524,0.5771,1.272,19.41,1.4602
45,0.75,0.65,3,150,0.5211,0.0627,-0.2731,1.645,478,477,0.5711,1.3571,24.87,1.839
45,0.75,0.65,3,200,0.4484,0.0529,-0.2967,1.2811,464,463,0.5582,1.2876,22.36,1.4941
45,0.75,0.65,5,150,0.5694,0.0701,-0.2473,1.9567,382,381,0.5812,1.4304,33.52,1.7525
45,0.75,0.65,5,200,0.5955,0.0748,-0.2522,2.1708,378,377,0.5899,1.4528,35.56,1.4499
45,0.75,0.7,2,150,0.4996,0.0592,-0.2597,1.5097,554,553,0.5686,1.3198,20.87,1.9285
45,0.75,0.7,2,200,0.4439,0.0519,-0.2918,1.2462,525,524,0.5752,1.2736,19.57,1.5481
