entry_date,exit_date,entry_price,exit_price,shares,pnl,entry_cost,exit_cost,transaction_cost,liquidity_constrained,hold_days,exit_reason,regime_active_at_entry,overnight_gap,weekend_gap,period
2013-10-09,2013-10-14,88.6579,90.9846,85,197.76,0.8101,0.8223,1.6324,False,3,RSI_EXIT,True,True,True,IS
2013-11-08,2013-11-14,91.3269,93.8827,83,212.13,0.8038,0.8141,1.618,False,4,RSI_EXIT,True,True,True,IS
2013-12-12,2013-12-19,93.2479,95.795,82,208.86,0.8012,0.8129,1.6141,False,5,RSI_EXIT,True,True,True,IS
2014-01-28,2014-02-11,95.5097,94.7988,81,-57.58,0.8031,0.8021,1.6053,False,10,HIGH_EXIT,True,True,True,IS
2014-03-27,2014-04-02,98.1344,101.1766,78,237.29,0.7818,0.794,1.5758,False,4,RSI_EXIT,True,True,True,IS
2014-05-07,2014-05-13,94.302,96.1214,82,149.19,0.807,0.8138,1.6208,False,4,RSI_EXIT,False,True,True,IS
2014-07-14,2014-07-23,99.9796,98.7486,78,-96.01,0.7886,0.7849,1.5736,False,7,HIGH_EXIT,True,True,True,IS
2014-08-01,2014-08-11,95.4626,96.9283,81,118.72,0.8015,0.8077,1.6092,False,6,HIGH_EXIT,False,True,True,IS
2015-01-07,2015-01-23,100.3167,102.1804,78,145.37,0.7945,0.8013,1.5957,False,11,RSI_EXIT,True,True,True,IS
2015-05-01,2015-05-11,105.3564,106.2718,74,67.74,0.7704,0.7735,1.544,False,6,HIGH_EXIT,True,True,True,IS
2015-06-30,2015-07-13,108.5295,108.6117,72,5.92,0.7613,0.7621,1.5234,False,8,HIGH_EXIT,True,True,True,IS
2015-07-27,2015-08-03,105.4638,107.097,75,122.49,0.7823,0.787,1.5694,False,5,HIGH_EXIT,True,True,True,IS
2015-08-10,2015-08-18,104.7673,105.7303,75,72.22,0.777,0.7812,1.5582,False,6,RSI_EXIT,False,True,True,IS
2016-06-28,2016-07-05,96.4473,101.1499,82,385.61,0.8231,0.8449,1.668,False,4,RSI_EXIT,False,True,True,IS
2016-09-12,2016-09-22,106.7405,110.2919,75,266.36,0.7893,0.8041,1.5934,False,8,RSI_EXIT,True,True,True,IS
2016-10-18,2016-10-25,107.7715,108.0076,75,17.7,0.7926,0.792,1.5845,False,5,HIGH_EXIT,True,True,True,IS
2016-10-28,2016-11-08,104.9248,104.8951,77,-2.28,0.7995,0.8014,1.6008,False,7,RSI_EXIT,True,True,True,IS
2017-03-10,2017-03-16,121.3683,123.0644,67,113.64,0.7516,0.758,1.5096,False,4,RSI_EXIT,True,True,True,IS
2017-05-18,2017-05-25,120.1818,123.3473,68,215.25,0.7599,0.7706,1.5305,False,5,HIGH_EXIT,True,True,True,IS
2017-08-03,2017-08-25,125.9657,122.7502,65,-209.01,0.7433,0.7351,1.4784,False,16,HIGH_EXIT,True,True,True,IS
2017-11-15,2017-11-17,130.6851,132.3698,62,104.46,0.7219,0.7287,1.4506,False,2,RSI_EXIT,True,True,False,IS
2018-02-05,2018-02-15,137.7865,137.3562,59,-25.39,0.7172,0.7162,1.4333,False,8,HIGH_EXIT,True,True,True,IS
2018-03-26,2018-04-05,137.58,138.415,59,49.26,0.7165,0.7202,1.4367,False,7,HIGH_EXIT,True,True,True,IS
2018-10-02,2018-10-11,151.2699,139.9007,54,-613.94,0.6865,0.6583,1.3448,False,7,STOP_LOSS,True,True,True,IS
2019-05-14,2019-06-05,139.1591,138.036,47,-52.79,0.5737,0.5723,1.146,False,15,HIGH_EXIT,False,True,True,OOS
2019-08-06,2019-08-22,136.8377,138.4399,48,76.91,0.5796,0.5867,1.1663,False,12,HIGH_EXIT,False,True,True,OOS
2019-09-25,2019-10-14,140.4356,138.2258,47,-103.86,0.5747,0.569,1.1437,False,13,RSI_EXIT,True,True,True,OOS
2020-01-28,2020-02-06,152.2612,155.3729,43,133.8,0.5489,0.559,1.1079,False,7,RSI_EXIT,True,True,True,OOS
2020-02-25,2020-02-27,150.4287,139.1224,44,-497.48,0.565,0.5397,1.1047,False,2,STOP_LOSS,True,True,False,OOS
2020-09-09,2020-09-15,141.1818,143.9072,46,125.37,0.5659,0.5742,1.1401,False,4,HIGH_EXIT,True,True,True,OOS
2020-09-24,2020-09-29,134.8041,140.2167,48,259.8,0.5782,0.593,1.1713,False,3,HIGH_EXIT,False,True,True,OOS
2020-10-29,2020-11-04,142.974,147.6092,46,213.22,0.5719,0.5828,1.1547,False,4,RSI_EXIT,True,True,True,OOS
2021-02-01,2021-02-03,195.4277,200.5883,34,175.46,0.5133,0.5222,1.0355,False,2,RSI_EXIT,True,True,False,OOS
2021-03-24,2021-04-01,206.4019,209.1473,32,87.85,0.5035,0.507,1.0104,False,6,HIGH_EXIT,True,True,True,OOS
2021-04-21,2021-04-26,204.1189,213.4733,33,308.7,0.5125,0.5278,1.0403,False,3,RSI_EXIT,True,True,True,OOS
2021-05-13,2021-05-18,200.6295,208.1975,34,257.31,0.5223,0.5359,1.0582,False,3,HIGH_EXIT,True,True,True,OOS
2021-06-21,2021-06-25,211.0473,218.7765,32,247.33,0.5062,0.5182,1.0244,False,4,RSI_EXIT,True,True,False,OOS
2021-07-08,2021-07-22,206.5824,208.5856,33,66.1,0.5137,0.5193,1.033,False,10,HIGH_EXIT,True,True,True,OOS
2021-08-18,2021-08-24,203.5588,207.5026,34,134.09,0.5235,0.5314,1.0549,False,4,HIGH_EXIT,True,True,True,OOS
2021-09-21,2021-09-24,206.0738,210.6819,34,156.67,0.529,0.5375,1.0665,False,3,RSI_EXIT,False,True,False,OOS
2021-11-22,2021-12-01,221.2952,204.6675,32,-532.09,0.5228,0.4954,1.0182,False,6,STOP_LOSS,True,True,True,OOS
2023-03-10,2023-03-22,173.4269,169.6788,40,-149.92,0.5585,0.5507,1.1092,False,8,HIGH_EXIT,True,True,True,OOS
2023-06-26,2023-06-30,174.5971,182.1349,39,293.98,0.545,0.56,1.105,False,4,RSI_EXIT,True,True,False,OOS
2023-08-10,2023-08-30,186.0146,181.6223,37,-162.52,0.5361,0.5276,1.0637,False,14,RSI_EXIT,True,True,True,OOS
2024-01-05,2024-01-23,188.012,193.3777,36,193.17,0.5274,0.5357,1.0631,False,11,RSI_EXIT,True,True,True,OOS
2024-04-16,2024-04-24,190.1718,193.8199,36,131.33,0.5313,0.5376,1.069,False,6,RSI_EXIT,True,True,True,OOS
2024-05-24,2024-06-03,200.3252,202.9747,35,92.73,0.534,0.5381,1.0721,False,5,HIGH_EXIT,True,True,True,OOS
2024-08-05,2024-08-14,194.1261,204.62,36,377.78,0.5421,0.5609,1.103,False,7,HIGH_EXIT,True,True,True,OOS
2024-09-09,2024-09-16,204.1804,213.4473,35,324.34,0.5446,0.5611,1.1057,False,5,RSI_EXIT,True,True,True,OOS
2024-12-16,2024-12-27,229.247,221.3855,31,-243.71,0.5174,0.5072,1.0246,False,8,HIGH_EXIT,True,True,True,OOS
