date_entry,date_exit,state,spy_w,iwm_w,shy_w,nav_entry,nav_exit,pnl_pct,pnl_dollar,hold_days,exit_reason,cost_bps
2009-06-16,2009-07-02,neutral,0.5,0.5,0.0,98903.1764,97401.2052,-0.015186,-1501.9712,12,state_change,0.3076
2009-07-02,2009-07-08,spy_heavy,0.6,0.4,0.0,97398.2351,94038.806,-0.034492,-3359.4291,3,state_change,0.3049
2009-07-08,2009-07-17,neutral,0.5,0.5,0.0,94035.7691,100449.4935,0.068205,6413.7244,7,state_change,0.3229
2009-07-17,2009-07-22,spy_heavy,0.6,0.4,0.0,100446.413,101000.0254,0.005512,553.6124,3,state_change,0.3067
2009-07-22,2009-07-27,neutral,0.5,0.5,0.0,100996.9591,105044.8193,0.040079,4047.8602,3,state_change,0.3036
2009-07-27,2009-08-07,spy_heavy,0.6,0.4,0.0,105041.6502,108407.5714,0.032044,3365.9212,9,state_change,0.3017
2009-08-07,2009-08-12,neutral,0.5,0.5,0.0,108404.5295,107357.1322,-0.009662,-1047.3973,3,state_change,0.2806
2009-08-12,2009-08-17,spy_heavy,0.6,0.4,0.0,107354.0318,106101.3919,-0.011668,-1252.6399,3,state_change,0.2888
2009-08-17,2009-08-24,neutral,0.5,0.5,0.0,106098.2695,111549.2325,0.051377,5450.963,5,state_change,0.2943
2009-08-24,2009-08-31,spy_heavy,0.6,0.4,0.0,111546.0595,110167.5895,-0.012358,-1378.47,5,state_change,0.2844
2009-08-31,2009-09-10,neutral,0.5,0.5,0.0,110164.4622,112093.8829,0.017514,1929.4207,7,state_change,0.2839
2009-09-10,2009-10-01,spy_heavy,0.6,0.4,0.0,112090.7289,113114.2357,0.009131,1023.5068,15,state_change,0.2814
2009-10-01,2009-10-21,neutral,0.5,0.5,0.0,113111.3662,117471.9512,0.038551,4360.585,14,state_change,0.2537
2009-10-21,2009-12-07,iwm_heavy,0.4,0.6,0.0,117468.494,117319.065,-0.001272,-149.429,32,state_change,0.2943
2009-12-07,2009-12-24,neutral,0.5,0.5,0.0,117316.1505,121358.6476,0.034458,4042.4971,13,state_change,0.2484
2009-12-24,2009-12-30,spy_heavy,0.6,0.4,0.0,121355.2039,121189.403,-0.001366,-165.8009,3,state_change,0.2838
2009-12-30,2010-01-05,neutral,0.5,0.5,0.0,121186.2041,122549.7361,0.011252,1363.532,3,state_change,0.264
2010-01-05,2010-01-13,spy_heavy,0.6,0.4,0.0,122546.5216,122917.7177,0.003029,371.1961,6,state_change,0.2623
2010-01-13,2010-01-19,neutral,0.5,0.5,0.0,122914.4703,122871.3991,-0.00035,-43.0712,3,state_change,0.2642
2010-01-19,2010-01-27,spy_heavy,0.6,0.4,0.0,122868.1686,117674.0436,-0.042274,-5194.125,6,state_change,0.2629
2010-01-27,2010-02-16,neutral,0.5,0.5,0.0,117670.8389,118218.4765,0.004654,547.6376,13,state_change,0.2723
2010-02-16,2010-04-01,spy_heavy,0.6,0.4,0.0,118215.2101,129602.2112,0.096324,11387.0011,32,state_change,0.2763
2010-04-01,2010-04-07,neutral,0.5,0.5,0.0,129599.147,131770.9123,0.016758,2171.7653,3,state_change,0.2364
2010-04-07,2010-05-06,spy_heavy,0.6,0.4,0.0,131767.5238,129610.5654,-0.016369,-2156.9584,21,state_change,0.2572
2010-05-06,2010-05-12,neutral,0.5,0.5,0.0,129607.4113,130025.5317,0.003226,418.1204,4,state_change,0.2434
2010-05-12,2010-05-21,spy_heavy,0.6,0.4,0.0,130022.2144,118010.2214,-0.092384,-12011.993,7,state_change,0.2551
2010-05-21,2010-05-28,shy,0.0,0.0,1.0,117926.3755,117673.2504,-0.002146,-253.1251,5,state_change,7.105
2010-05-28,2010-06-03,spy_heavy,0.6,0.4,0.0,117590.0242,117096.9511,-0.004193,-493.0731,3,state_change,7.0727
2010-06-03,2010-06-08,neutral,0.5,0.5,0.0,117093.8334,110788.5532,-0.053848,-6305.2802,3,state_change,0.2663
2010-06-08,2010-06-16,shy,0.0,0.0,1.0,110709.3278,110762.2265,0.000478,52.8987,6,state_change,7.151
2010-06-16,2010-06-23,neutral,0.5,0.5,0.0,110683.478,108540.0273,-0.019366,-2143.4507,5,state_change,7.1097
2010-06-23,2010-07-27,shy,0.0,0.0,1.0,108462.7536,108686.3696,0.002062,223.616,23,state_change,7.1194
2010-07-27,2010-07-30,neutral,0.5,0.5,0.0,108609.396,104757.2667,-0.035468,-3852.1293,3,state_change,7.0822
2010-07-30,2010-08-04,shy,0.0,0.0,1.0,104682.8534,104684.2941,1.4e-05,1.4407,3,state_change,7.1034
2010-08-04,2010-08-09,neutral,0.5,0.5,0.0,104610.1329,104505.961,-0.000996,-104.1719,3,state_change,7.0843
2010-08-09,2010-08-12,iwm_heavy,0.4,0.6,0.0,104503.2125,97994.2821,-0.062285,-6508.9304,3,state_change,0.263
2010-08-12,2010-09-13,shy,0.0,0.0,1.0,97923.9131,97853.9411,-0.000715,-69.972,21,state_change,7.1809
2010-09-13,2010-09-29,neutral,0.5,0.5,0.0,97784.4964,101185.6883,0.034783,3401.1919,12,state_change,7.0968
2010-09-29,2010-10-22,spy_heavy,0.6,0.4,0.0,101182.9604,104866.8552,0.036408,3683.8948,17,state_change,0.2696
2010-10-22,2010-10-27,neutral,0.5,0.5,0.0,104864.3009,104805.406,-0.000562,-58.8949,3,state_change,0.2436
2010-10-27,2010-11-02,spy_heavy,0.6,0.4,0.0,104802.7836,105893.521,0.010408,1090.7374,4,state_change,0.2502
2010-11-02,2010-11-05,neutral,0.5,0.5,0.0,105890.8877,109268.3619,0.031896,3377.4742,3,state_change,0.2487
2010-11-05,2010-11-17,spy_heavy,0.6,0.4,0.0,109265.6381,105475.4652,-0.034688,-3790.1729,8,state_change,0.2493
