ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,entry_cost,exit_cost,transaction_cost,liquidity_constrained,hold_days,exit_reason,regime_active_at_entry,overnight_gap,weekend_gap,period
XLE,2005-04-18,2005-04-20,10.9093,11.4316,1826,953.61,19.3331,19.8544,39.1875,False,2,RSI_EXIT,False,True,False,IS
XLB,2005-04-18,2005-04-22,8.7319,8.9648,2281,531.28,21.9883,22.3666,44.3549,False,4,RSI_EXIT,False,True,False,IS
XLB,2005-05-16,2005-05-19,8.4447,8.8923,2394,1071.72,22.6884,23.2737,45.9622,False,3,RSI_EXIT,True,True,False,IS
XLV,2005-06-28,2005-06-29,21.9313,22.039,926,99.7,15.1548,15.2232,30.378,False,1,RSI_EXIT,True,True,False,IS
XLP,2005-06-27,2005-06-29,13.2397,13.3668,1533,194.82,18.2818,18.454,36.7358,False,2,RSI_EXIT,True,True,False,IS
XLI,2005-06-24,2005-06-29,19.8488,19.9925,1029,147.89,15.8055,15.9962,31.8017,False,3,RSI_EXIT,True,True,True,IS
XLB,2005-06-24,2005-06-29,8.7714,8.7237,2329,-110.92,22.2484,22.2172,44.4656,False,3,RSI_EXIT,True,True,True,IS
QQQ,2005-06-24,2005-07-05,31.8829,31.2044,640,-434.2,4.2567,4.2341,8.4908,False,6,MAX_HOLD,True,True,True,IS
XLI,2005-08-08,2005-08-10,20.2116,20.335,1009,124.46,15.6576,15.7487,31.4063,False,2,RSI_EXIT,True,True,False,IS
XLE,2005-08-19,2005-08-23,13.1371,13.2927,1555,241.93,18.1759,18.313,36.4889,False,2,RSI_EXIT,True,True,True,IS
XLB,2005-08-19,2005-08-29,8.9648,8.5622,2279,-917.65,21.9849,21.5163,43.5012,False,6,MAX_HOLD,True,True,True,IS
XLV,2005-08-24,2005-08-30,22.0016,21.9337,926,-62.87,15.1927,15.1687,30.3614,False,4,RSI_EXIT,True,True,True,IS
XLE,2005-10-06,2005-10-12,13.382,13.8277,1516,675.63,17.9694,18.3319,36.3013,False,4,RSI_EXIT,True,True,True,IS
IWM,2005-12-20,2005-12-22,50.8442,51.6583,401,326.43,3.0805,3.1024,6.1828,False,2,RSI_EXIT,True,True,False,IS
XLK,2005-12-20,2005-12-23,8.2188,8.2427,2485,59.47,22.9677,23.013,45.9807,False,3,RSI_EXIT,True,True,False,IS
QQQ,2006-01-03,2006-01-04,34.7552,35.3912,589,374.6,4.0162,4.037,8.0533,False,1,RSI_EXIT,True,True,False,IS
XLK,2006-01-03,2006-01-04,8.1107,8.2273,2528,294.54,23.3004,23.5069,46.8073,False,1,RSI_EXIT,True,True,False,IS
XLF,2006-01-23,2006-01-27,16.9642,17.4256,1216,561.14,16.5629,16.8684,33.4313,False,4,RSI_EXIT,True,True,False,IS
XLE,2006-02-15,2006-02-17,14.4284,14.8633,1437,624.92,17.7092,18.0505,35.7597,False,2,RSI_EXIT,True,True,False,IS
XLV,2006-04-10,2006-04-19,22.2131,22.0456,939,-157.3,15.4391,15.3384,30.7776,False,6,RSI_EXIT,True,True,True,IS
XLK,2006-05-12,2006-05-22,8.1494,7.861,2558,-737.8,23.726,23.2814,47.0073,False,6,MAX_HOLD,True,True,True,IS
XLB,2006-05-16,2006-05-22,10.8867,10.322,1916,-1082.05,20.3149,19.8029,40.1178,False,4,STOP_LOSS,True,True,True,IS
QQQ,2006-05-15,2006-05-23,34.2406,33.5769,607,-402.84,4.1227,4.094,8.2167,False,6,MAX_HOLD,True,True,True,IS
IWM,2006-05-15,2006-05-23,55.7584,54.9323,372,-307.31,2.9706,2.9436,5.9141,False,6,MAX_HOLD,True,True,True,IS
XLI,2006-05-18,2006-05-26,23.4057,23.2284,877,-155.45,15.0628,14.9803,30.0431,False,6,RSI_EXIT,True,True,True,IS
XLK,2006-06-12,2006-06-16,7.7055,7.7992,2635,246.83,23.8545,24.1205,47.975,False,4,RSI_EXIT,False,True,False,IS
XLB,2006-07-14,2006-07-20,9.978,10.2726,2040,601.04,20.8261,21.2523,42.0785,False,4,RSI_EXIT,False,True,True,IS
XLE,2006-09-13,2006-09-19,14.6223,14.8432,1400,309.19,17.4321,17.6128,35.0449,False,4,RSI_EXIT,True,True,True,IS
SPY,2006-11-06,2006-11-07,95.5098,96.3547,215,181.65,2.1172,2.1268,4.244,False,1,RSI_EXIT,True,True,False,IS
XLV,2006-11-02,2006-11-07,23.5566,23.8579,871,262.43,14.8707,15.0704,29.9411,False,3,RSI_EXIT,True,True,True,IS
XLP,2006-11-06,2006-11-09,15.1509,15.3338,1357,248.28,17.3108,17.4749,34.7857,False,3,RSI_EXIT,True,True,False,IS
IWM,2006-11-28,2006-11-30,58.8258,59.8156,351,347.42,2.842,2.8534,5.6954,False,2,RSI_EXIT,True,True,False,IS
XLK,2006-12-26,2006-12-28,8.9439,9.0646,2319,279.86,22.272,22.4577,44.7297,False,2,RSI_EXIT,True,True,False,IS
QQQ,2006-12-26,2007-01-04,36.8207,37.1241,562,170.55,3.8794,3.8913,7.7707,False,5,RSI_EXIT,True,True,True,IS
XLE,2007-01-05,2007-01-16,15.609,15.4345,1334,-232.75,17.2264,17.1266,34.3531,False,6,RSI_EXIT,True,True,True,IS
XLK,2007-01-23,2007-01-25,9.0101,9.2122,2307,466.43,22.2521,22.5668,44.8188,False,2,RSI_EXIT,True,True,False,IS
XLP,2007-02-13,2007-02-15,15.8569,15.9505,1316,123.19,17.1821,17.2884,34.4705,False,2,RSI_EXIT,True,True,False,IS
XLI,2007-02-28,2007-03-07,24.4398,24.225,854,-183.46,15.0684,14.9523,30.0207,False,5,RSI_EXIT,True,True,True,IS
SPY,2007-02-28,2007-03-08,98.4471,98.5322,212,18.03,2.1377,2.138,4.2757,False,6,MAX_HOLD,True,True,True,IS
IWM,2007-02-28,2007-03-08,60.4482,59.9383,345,-175.95,2.8318,2.8277,5.6595,False,6,MAX_HOLD,True,True,True,IS
XLF,2007-02-28,2007-03-08,19.8975,20.1288,1050,242.78,15.9216,16.0592,31.9808,False,6,MAX_HOLD,True,True,True,IS
XLP,2007-02-28,2007-03-08,15.6773,15.4055,1333,-362.26,17.4841,17.3797,34.8639,False,6,MAX_HOLD,True,True,True,IS
SPY,2007-06-08,2007-06-14,105.3072,107.0321,196,338.09,2.0306,2.0497,4.0803,False,4,RSI_EXIT,True,True,True,IS
XLF,2007-06-08,2007-06-14,20.6077,20.9401,1006,334.39,15.5016,15.7031,31.2047,False,4,RSI_EXIT,True,True,True,IS
XLI,2007-06-08,2007-06-14,26.5435,27.0671,781,408.89,14.4745,14.7592,29.2337,False,4,RSI_EXIT,True,True,True,IS
IWM,2007-06-08,2007-06-15,63.2689,65.1222,327,606.01,2.7098,2.744,5.4538,False,5,RSI_EXIT,True,True,True,IS
XLV,2007-06-07,2007-06-15,25.8725,26.091,804,175.67,14.6911,14.7513,29.4424,False,6,RSI_EXIT,True,True,True,IS
XLF,2007-06-27,2007-07-03,20.1973,20.5714,1048,392.07,15.9564,16.1699,32.1263,False,4,RSI_EXIT,True,True,True,IS
IWM,2007-07-25,2007-07-27,63.0721,59.9025,336,-1064.98,2.7823,2.7295,5.5118,False,2,STOP_LOSS,True,True,False,IS
XLV,2007-07-23,2007-07-27,25.7226,24.4015,826,-1091.23,15.0353,14.6072,29.6425,False,4,STOP_LOSS,True,True,False,IS
XLF,2007-07-25,2007-07-31,19.5448,18.539,1086,-1092.26,16.1551,15.6277,31.7829,False,4,STOP_LOSS,True,True,True,IS
XLP,2007-07-27,2007-08-02,16.2763,16.1646,1272,-142.02,17.0745,17.0831,34.1576,False,4,RSI_EXIT,True,True,True,IS
IWM,2007-07-30,2007-08-03,59.8591,60.3848,341,179.24,2.7726,2.7829,5.5554,False,4,RSI_EXIT,True,True,False,IS
XLV,2007-07-30,2007-08-03,24.3768,24.6956,840,267.84,14.8506,15.0025,29.8532,False,4,RSI_EXIT,True,True,False,IS
XLB,2007-07-26,2007-08-03,13.5207,13.1113,1552,-635.25,18.556,18.269,36.825,False,6,MAX_HOLD,True,True,True,IS
XLF,2007-10-19,2007-10-29,19.0094,19.0764,1080,72.39,15.7713,15.8193,31.5906,False,6,RSI_EXIT,True,True,True,IS
XLV,2007-12-17,2007-12-21,25.8487,26.1973,795,277.09,14.6718,14.7671,29.4389,False,4,RSI_EXIT,False,True,False,IS
XLK,2009-10-29,2009-10-30,8.4308,8.4845,2445,131.13,22.7373,22.8771,45.6144,False,1,RSI_EXIT,True,True,False,IS
XLI,2009-10-29,2009-11-04,18.8279,19.246,1094,457.49,16.0422,16.3151,32.3573,False,4,RSI_EXIT,True,True,True,IS
QQQ,2009-10-29,2009-11-06,36.0799,36.4907,571,234.56,3.9331,3.956,7.8891,False,6,RSI_EXIT,True,True,True,IS
IWM,2009-10-29,2009-11-06,45.7402,45.805,450,29.16,3.369,3.3727,6.7417,False,6,RSI_EXIT,True,True,True,IS
